Fecha,Nombre Corto,Localidad,Comuna,Grupo Cliente,Clientes,M3 Ap
2025-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28640.18739832258,539610.11657171
2026-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28650.595843729712,540947.9275053288
2026-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28660.436927217826,542285.7384389477
2026-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28669.741575552118,543623.5493725666
2026-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28678.53902968706,544961.3603061854
2026-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28686.85693665956,546299.1712398044
2026-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28694.72143647301,547636.9821734233
2026-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28702.157244245358,548974.7931070421
2026-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28709.187727879264,550312.604040661
2026-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28715.83498149849,551650.4149742799
2026-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28722.119894881296,552988.2259078987
2026-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28728.062219109022,554326.0368415175
2026-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28733.680628636197,555663.8477751365
2027-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28738.99277997721,557001.6587087554
2027-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28744.015367193984,558339.4696423742
2027-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28748.764174359054,559677.2805759931
2027-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28753.254125158852,561015.091509612
2027-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28757.499329793165,562352.9024432309
2027-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28761.513129318093,563690.7133768498
2027-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28765.3081375719,565028.5243104687
2027-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28768.896280815487,566366.3352440875
2027-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28772.288835212057,567704.1461777064
2027-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28775.49646226381,569041.9571113252
2027-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28778.52924231696,570379.7680449442
2027-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28781.396706240408,571717.578978563
